iter	Logloss
0	0.6735470729
1	0.6561505433
2	0.6381728098
3	0.6221115895
4	0.6071549069
5	0.5946976422
6	0.5845258887
7	0.5720286582
8	0.5618641798
9	0.5529438831
10	0.545382705
11	0.5394640434
12	0.5336435481
13	0.5224312681
14	0.516241822
15	0.5090314544
16	0.5048511607
17	0.4979487087
18	0.4946151124
19	0.4892742061
20	0.4840586769
21	0.4794627584
22	0.4758073576
23	0.4703517032
24	0.4659225921
25	0.461640211
26	0.4586270965
27	0.4562868803
28	0.4536919889
29	0.4518954674
30	0.4493993565
31	0.4443164323
32	0.4442583733
33	0.4432778899
34	0.4382505682
35	0.4361713576
36	0.4325039576
37	0.4312042679
38	0.4296565639
39	0.4272420852
40	0.425504662
41	0.4240405742
42	0.4215942551
43	0.4195020533
44	0.4172052987
45	0.415315949
46	0.4131710737
47	0.4123667986
48	0.4105119819
49	0.4075842788
50	0.4057431148
51	0.4029448043
52	0.4014895033
53	0.4001523044
54	0.3977107094
55	0.3949564038
56	0.3937835794
57	0.3923423089
58	0.3911533754
59	0.3891266494
60	0.3879442823
61	0.3870714607
62	0.3827606406
63	0.3812902699
64	0.3804530679
65	0.3796273927
66	0.3779335728
67	0.3762835687
68	0.3752345861
69	0.3747022529
70	0.3733221357
71	0.3730495325
72	0.3720509558
73	0.3713769709
74	0.3695026202
75	0.3675108524
76	0.3666918618
77	0.366042513
78	0.3635067906
79	0.3622047625
80	0.3609718478
81	0.3588731976
82	0.3571036979
83	0.3550902465
84	0.3496910214
85	0.3483028732
86	0.3474748596
87	0.3467604366
88	0.3442168486
89	0.3414357338
90	0.340529017
91	0.3396337324
92	0.3393092352
93	0.3372480469
94	0.3360737581
95	0.334647085
96	0.3342946684
97	0.3320805617
98	0.3313088591
99	0.3293821183
100	0.3280886408
101	0.3274982485
102	0.3266003894
103	0.3262207384
104	0.3252710561
105	0.3243946206
106	0.3236729697
107	0.3232953974
108	0.3222523671
109	0.3218528514
110	0.3209306396
111	0.3182169374
112	0.3165545091
113	0.315333995
114	0.3145643002
115	0.3140321795
116	0.3132589416
117	0.311410219
118	0.3102049165
119	0.3093119704
120	0.3085653291
121	0.3080567343
122	0.3074231167
123	0.3067643434
124	0.3059173862
125	0.3056943622
126	0.3048523417
127	0.3025430683
128	0.3011990903
129	0.3005307743
130	0.2999065576
131	0.2992760343
132	0.2979509291
133	0.2964694803
134	0.2955054367
135	0.294521552
136	0.2932041706
137	0.2921830129
138	0.291209403
139	0.2908315236
140	0.290131202
141	0.2891391446
142	0.2886807196
143	0.2873681331
144	0.2869523666
145	0.2861710505
146	0.2848103966
147	0.2841272942
148	0.2821121185
149	0.2810467434
150	0.2803874031
151	0.2794731041
152	0.2779932616
153	0.277330024
154	0.2765687852
155	0.2755757358
156	0.2748171662
157	0.2743511827
158	0.2734378757
159	0.2721253365
160	0.2717580627
161	0.2711305628
162	0.2697999067
163	0.2688888437
164	0.267801478
165	0.2663743562
166	0.2643673532
167	0.2638317603
168	0.2630349729
169	0.2618243085
170	0.2599571148
171	0.2581374453
172	0.2569348828
173	0.256172652
174	0.2546241921
175	0.2534603907
176	0.252570468
177	0.2520557083
178	0.2512523071
179	0.2500698456
180	0.249287443
181	0.24773681
182	0.2465628754
183	0.2452581782
184	0.2436210237
185	0.242041125
186	0.2412609191
187	0.2399711264
188	0.2381824233
189	0.237243937
190	0.2354343771
191	0.2337792474
192	0.2324929977
193	0.2312305811
194	0.2302661596
195	0.2286719706
196	0.2281061199
197	0.2273234102
198	0.2261006759
199	0.2245040067
200	0.223885955
201	0.2229693648
202	0.2212036207
203	0.2197831835
204	0.2185936122
205	0.2177449307
206	0.216637086
207	0.2154556874
208	0.2144834475
209	0.2135816437
210	0.2129747408
211	0.2107745937
212	0.2096984949
213	0.2090031571
214	0.2075537612
215	0.2068369053
216	0.2058128895
217	0.2049535552
218	0.2042088271
219	0.2033214318
220	0.2027162532
221	0.2015507274
222	0.2010110955
223	0.2007115886
224	0.19939005
225	0.1987956896
226	0.1975167858
227	0.1967591138
228	0.1960522139
229	0.1942305367
230	0.1935271325
231	0.1921099313
232	0.1909026919
233	0.1903677958
234	0.1898727474
235	0.1893355129
236	0.1885595704
237	0.1872255013
238	0.1862269364
239	0.1854326173
240	0.1846842281
241	0.1837849871
242	0.1831300639
243	0.1820779044
244	0.1813838776
245	0.1807891864
246	0.1805369086
247	0.1799690266
248	0.1797507621
249	0.178266101
250	0.1778503108
251	0.1771349193
252	0.1766646959
253	0.1762235493
254	0.1758073103
255	0.1752864566
256	0.1746700819
257	0.1740495618
258	0.1735191417
259	0.1730771566
260	0.1724868706
261	0.1716171197
262	0.1711415227
263	0.1707013799
264	0.1703368224
265	0.1692339144
266	0.1683254969
267	0.1680520906
268	0.1677603312
269	0.1672793605
270	0.1667094708
271	0.1663227456
272	0.1652330177
273	0.164986586
274	0.1646193358
275	0.1636414624
276	0.1632107324
277	0.1625770439
278	0.1620462223
279	0.1617077063
280	0.1614914378
281	0.1606447287
282	0.1597171786
283	0.158875477
284	0.1582006653
285	0.1578141055
286	0.1572957082
287	0.1570482844
288	0.1562142239
289	0.155779443
290	0.1551039464
291	0.1546438797
292	0.1539223233
293	0.1530528913
294	0.1524830961
295	0.1522041744
296	0.151392577
297	0.1509426199
298	0.1503249224
299	0.1496205971
300	0.1489948333
301	0.1487451655
302	0.1480357854
303	0.1476650276
304	0.1472214008
305	0.1467310291
306	0.1462935082
307	0.145734413
308	0.1448765196
309	0.1444700004
310	0.1437242685
311	0.1434118177
312	0.143088407
313	0.1426991898
314	0.1421419842
315	0.1414373164
316	0.1411141183
317	0.1405520705
318	0.1400356219
319	0.1393258521
320	0.138788594
321	0.1384503497
322	0.1382396319
323	0.1378274911
324	0.1371936728
325	0.1367850396
326	0.1365965251
327	0.1362278694
328	0.1356163487
329	0.1352820726
330	0.1349743459
331	0.1348044678
332	0.1343793476
333	0.1337920851
334	0.1330808862
335	0.1327930951
336	0.13256504
337	0.1322256619
338	0.1317957467
339	0.131168294
340	0.1308277585
341	0.1302157772
342	0.1296956084
343	0.1295116527
344	0.1290653922
345	0.1281320079
346	0.1273056123
347	0.1270462483
348	0.1266215887
349	0.126156798
350	0.1256767603
351	0.1250143022
352	0.1246378518
353	0.124108601
354	0.123717258
355	0.1232418027
356	0.1225602592
357	0.1221404536
358	0.1215352513
359	0.1211830946
360	0.1207681311
361	0.1201651965
362	0.1195697494
363	0.1190619578
364	0.1184739157
