Modelo,MSE,RMSE,MAE,R²
Holt,13.05352017193617,3.612965564731578,3.5451927222902953,0.56847867200211
MediaMovil,30.610000000000028,5.532630477449224,5.5,-0.011900826446281876
SES,32.2672188218289,5.680424176223894,5.5,-0.06668491972988089
SARIMA,52.740190754692904,7.262244195473801,5.595217746667487,-0.7434773803204267
Crecimiento,695.9913036708369,26.381647099277878,24.51343005587688,-22.007976980854114
