Codigo Rude,Probabilidad_Reprobacion,Genero,Nivel,Curso,Promedio_Ultimo_Año,Reprobaciones_acumuladas,Años_en_sistema,Volatilidad_rendimiento,Nivel_Riesgo,Gestion,Promedio,Reprobado,Promedio_Curso_General,Diferencia_vs_Promedio_Curso,Razones_Riesgo,Intervenciones_Recomendadas
519500012021961A,0.7949186312515062,M,Primario,2do A,56,0,1,0.0,Muy Alto,2024,56,0,56.666666666666664,-0.6666666666666643,Promedio bajo (<70),"Refuerzo académico específico, Monitoreo continuo del progreso"
719500632013722,0.6611628283414742,M,Secundaria,4to A,56,1,1,0.0,Alto,2024,56,1,56.0,0.0,Promedio bajo (<70),"Refuerzo académico específico, Monitoreo continuo del progreso"
7195006820213855,0.5934123030760166,F,Primario,2do A,57,0,1,0.0,Alto,2024,57,0,56.666666666666664,0.3333333333333357,Promedio bajo (<70),"Refuerzo académico específico, Monitoreo continuo del progreso"
5195000120232293,0.5934123030760166,F,Primario,2do A,57,0,1,0.0,Alto,2024,57,0,56.666666666666664,0.3333333333333357,Promedio bajo (<70),"Refuerzo académico específico, Monitoreo continuo del progreso"
519500012020008,0.506523885010877,M,Primario,3ro A,53,1,1,0.0,Alto,2024,53,1,53.0,0.0,Promedio bajo (<70),"Refuerzo académico específico, Monitoreo continuo del progreso"
519500012017009,0.5059355396330645,M,Secundaria,1ro A,56,1,1,0.0,Alto,2024,56,1,56.0,0.0,Promedio bajo (<70),"Refuerzo académico específico, Monitoreo continuo del progreso"
